COURSE_INDEX,SAT_ROW_ID,GOWORKMEAN,GOWORKONTRACK,GOWORKSKILLS
0,0,73.53,66.0,60.23
2,1,68.32,56.8,42.55
3,2,74.25,63.62,54.88
4,3,72.45,58.92,51.04
5,4,70.97,63.06,42.26
6,5,78.93,74.63,58.88
7,6,83.75,76.25,73.75
8,7,78.18,70.13,55.77
9,8,81.0,77.0,74.0
10,9,81.19,77.67,64.27
11,10,82.5,67.5,52.5
12,11,95.1,86.9,90.39
13,12,100.0,100.0,85.0
14,13,82.14,77.68,69.82
15,14,65.0,60.0,55.0
16,15,88.15,84.49,68.95
17,16,95.0,93.0,65.0
18,17,83.81,75.2,57.1
19,18,88.33,87.5,65.83
20,19,84.8,77.8,72.0
22,20,72.14,66.43,53.57
23,21,80.53,77.58,60.17
24,22,88.33,84.56,71.19
25,23,90.62,92.92,74.31
26,24,95.29,89.12,92.65
27,25,95.58,89.11,89.53
28,26,93.85,90.37,90.07
29,27,80.45,79.62,66.69
30,28,82.5,80.0,66.25
31,29,92.25,83.86,83.11
32,30,96.5,85.5,96.0
33,31,74.67,56.04,48.79
34,32,83.12,67.53,57.76
35,33,93.67,92.11,96.78
36,34,80.0,64.94,56.75
38,35,75.6,57.4,48.2
39,36,87.83,74.97,73.77
40,37,93.75,83.75,86.25
41,38,83.22,67.8,58.06
42,39,90.0,85.0,70.0
43,40,84.0,73.5,54.5
44,41,94.5,85.32,85.32
45,42,95.0,80.0,75.0
46,43,76.28,60.84,47.23
47,44,82.28,66.94,53.7
49,45,87.72,76.85,76.12
50,46,94.44,85.56,86.11
51,47,71.5,60.03,44.74
52,48,78.33,51.67,66.67
53,49,81.0,66.5,55.5
54,50,61.84,51.58,43.42
56,51,76.08,64.31,54.06
57,52,80.94,64.69,56.56
58,53,75.0,75.0,55.0
59,54,71.25,55.0,39.17
60,55,74.66,62.16,44.74
62,56,77.24,60.14,46.58
63,57,74.12,59.12,41.76
64,58,83.09,65.48,71.35
65,59,91.67,81.67,75.0
66,60,75.65,63.74,42.26
67,61,70.0,65.0,45.0
68,62,84.86,79.71,65.06
69,63,90.71,88.57,66.43
70,64,75.8,64.02,59.1
72,65,84.29,71.43,63.71
73,66,100.0,90.0,90.0
74,67,94.97,90.52,88.03
75,68,100.0,100.0,100.0
76,69,77.5,51.67,45.83
77,70,77.86,61.43,52.14
79,71,72.5,55.0,50.0
80,72,80.67,64.03,52.73
81,73,83.79,70.69,60.52
82,74,85.0,60.0,50.0
83,75,78.75,66.8,55.65
84,76,72.5,57.5,60.0
85,77,80.0,74.29,63.75
86,78,82.5,76.88,71.88
87,79,85.5,73.1,66.5
88,80,80.0,65.0,55.0
90,81,79.56,72.42,57.56
91,82,81.88,78.12,70.0
92,83,87.92,79.17,61.67
93,84,76.67,60.0,85.0
94,85,91.56,80.94,78.75
95,86,89.0,69.0,74.0
96,87,78.64,67.73,40.91
97,88,74.0,56.33,45.67
98,89,40.0,25.0,10.0
99,90,77.85,77.3,48.08
100,91,82.5,85.0,55.0
101,92,79.19,69.99,56.0
102,93,82.29,70.0,70.29
103,94,75.22,63.28,54.19
105,95,70.0,67.5,62.5
106,96,80.0,71.25,56.25
107,97,81.0,68.0,56.67
108,98,80.33,66.29,52.29
109,99,84.81,80.44,66.31
110,100,89.0,74.5,65.0
111,101,90.45,85.91,89.82
112,102,85.75,70.0,53.25
113,103,75.0,60.0,75.0
114,104,57.5,52.5,45.0
115,105,70.0,35.0,30.0
116,106,75.36,63.21,43.21
117,107,73.33,68.89,44.44
118,108,83.04,74.78,59.7
119,109,90.0,90.0,65.0
120,110,85.4,68.77,53.53
121,111,90.0,90.0,40.0
122,112,84.08,70.53,56.71
124,113,79.35,75.88,48.76
125,114,82.33,81.33,59.33
126,115,83.61,69.72,44.72
127,116,100.0,90.0,100.0
128,117,86.25,75.0,66.25
129,118,92.0,88.5,88.0
130,119,96.36,91.82,88.64
131,120,79.59,72.0,57.0
132,121,80.0,70.0,40.0
133,122,81.78,72.39,57.61
134,123,84.62,78.08,51.15
135,124,77.12,69.94,58.25
136,125,87.25,75.5,69.75
137,126,93.71,85.86,92.14
138,127,70.0,63.75,56.25
139,128,81.67,68.75,57.5
140,129,82.5,73.75,55.0
141,130,80.71,65.0,49.29
142,131,90.0,73.5,66.5
143,132,78.75,66.25,57.71
145,133,88.57,67.5,67.14
146,134,80.0,80.0,65.0
147,135,90.0,83.0,59.0
148,136,74.41,62.06,39.71
149,137,75.62,68.1,56.52
150,138,80.0,70.0,45.0
151,139,77.17,68.26,48.7
152,140,76.4,67.8,51.4
153,141,75.0,66.67,52.78
154,142,97.5,95.75,96.38
156,143,92.5,87.5,85.0
157,144,85.83,68.33,72.5
158,145,100.0,100.0,80.0
159,146,90.0,55.0,55.0
160,147,80.82,72.24,52.21
161,148,80.0,80.0,61.11
162,149,90.0,90.0,62.5
163,150,83.65,75.91,55.04
164,151,93.33,71.67,90.0
165,152,86.43,72.14,55.71
166,153,65.0,45.0,25.0
167,154,77.5,58.33,50.0
169,155,96.5,87.5,86.0
170,156,90.0,90.0,85.0
171,157,98.75,88.75,87.5
172,158,85.0,75.0,70.0
173,159,80.0,75.0,55.0
175,160,90.0,90.0,80.0
176,161,93.75,85.0,73.75
177,162,75.0,71.67,53.33
178,163,98.6,94.0,99.0
179,164,97.31,95.38,96.94
180,165,100.0,100.0,55.0
181,166,97.5,97.5,90.0
183,167,76.67,73.33,40.0
185,168,80.0,60.0,60.0
187,169,71.11,53.33,39.44
188,170,80.0,66.25,31.25
189,171,75.0,85.0,80.0
190,172,70.0,80.0,62.5
191,173,75.83,63.33,54.17
192,174,68.0,52.0,33.0
193,175,86.88,76.88,56.88
194,176,60.0,40.0,35.0
195,177,75.0,60.0,55.0
196,178,95.0,85.0,90.0
197,179,82.5,50.0,37.5
198,180,80.0,45.0,75.0
200,181,66.25,62.5,50.0
201,182,60.0,70.0,47.5
202,183,80.0,67.5,45.0
203,184,90.0,85.0,70.0
204,185,100.0,85.0,90.0
205,186,85.0,85.0,40.0
206,187,100.0,100.0,90.0
209,188,100.0,80.0,70.0
